           TimeStamp             Session           ChannelID            Polarity           Impedance               Power   DistalTemperature ProximalTemperature                   
             4305960               34399                   0                 UNI             111.500              12.375              40.375               0.000                   
             4306060               34399                   0                 UNI             111.250              12.500              40.750               0.000                   
             4306160               34399                   0                 UNI             111.250              12.750              41.000               0.000                   
             4306260               34399                   0                 UNI             110.500              12.875              41.375               0.000                   
             4306360               34399                   0                 UNI             110.500              13.375              41.625               0.000                   
             4306460               34399                   0                 UNI             110.750              13.500              42.125               0.000                   
             4306560               34399                   0                 UNI             110.750              13.500              42.375               0.000                   
             4306660               34399                   0                 UNI             110.500              13.500              42.750               0.000                   
             4306760               34399                   0                 UNI             110.500              13.375              42.875               0.000                   
             4306860               34399                   0                 UNI             110.750              13.875              43.250               0.000                   
             4306960               34399                   0                 UNI             110.250              14.250              43.625               0.000                   
             4307060               34399                   0                 UNI             110.500              14.375              43.750               0.000                   
             4307160               34399                   0                 UNI             110.250              14.250              44.125               0.000                   
             4307260               34399                   0                 UNI             110.500              14.375              44.250               0.000                   
             4307360               34399                   0                 UNI             109.750              14.625              44.500               0.000                   
             4307460               34399                   0                 UNI             109.750              14.875              44.750               0.000                   
             4307560               34399                   0                 UNI             110.500              15.000              45.000               0.000                   
             4307660               34399                   0                 UNI             110.500              15.250              45.250               0.000                   
             4307760               34399                   0                 UNI             109.750              15.375              45.375               0.000                   
             4307860               34399                   0                 UNI             110.500              15.625              45.625               0.000                   
             4307960               34399                   0                 UNI             109.750              15.375              45.750               0.000                   
             4308060               34399                   0                 UNI             110.250              15.875              46.000               0.000                   
             4308160               34399                   0                 UNI             110.250              16.000              46.250               0.000                   
             4308260               34399                   0                 UNI             109.750              16.000              46.375               0.000                   
             4308360               34399                   0                 UNI             110.250              16.125              46.750               0.000                   
             4308460               34399                   0                 UNI             109.750              16.125              46.750               0.000                   
             4308560               34399                   0                 UNI             110.250              16.250              46.875               0.000                   
             4308660               34399                   0                 UNI             110.250              16.625              47.125               0.000                   
             4308759               34399                   0                 UNI             110.250              16.625              47.250               0.000                   
             4308860               34399                   0                 UNI             110.250              16.875              47.375               0.000                   
             4308959               34399                   0                 UNI             110.250              16.750              47.500               0.000                   
             4309059               34399                   0                 UNI             109.750              17.000              47.625               0.000                   
             4309159               34399                   0                 UNI             109.500              17.125              47.875               0.000                   
             4309259               34399                   0                 UNI             110.250              17.625              48.000               0.000                   
             4309359               34399                   0                 UNI             110.250              17.750              48.125               0.000                   
             4309459               34399                   0                 UNI             110.250              17.625              48.250               0.000                   
             4309559               34399                   0                 UNI             109.750              17.750              48.375               0.000                   
             4309659               34399                   0                 UNI             109.750              17.625              48.625               0.000                   
             4309759               34399                   0                 UNI             110.250              17.875              48.625               0.000                   
             4309859               34399                   0                 UNI             109.750              18.000              48.750               0.000                   
             4309959               34399                   0                 UNI             109.750              18.250              48.875               0.000                   
             4310059               34399                   0                 UNI             109.500              18.250              49.125               0.000                   
             4310159               34399                   0                 UNI             109.500              18.250              49.125               0.000                   
             4310259               34399                   0                 UNI             109.500              18.000              49.250               0.000                   
             4310359               34399                   0                 UNI             109.500              18.875              49.375               0.000                   
             4310459               34399                   0                 UNI             109.000              18.750              49.375               0.000                   
             4310559               34399                   0                 UNI             109.000              19.000              49.625               0.000                   
             4310659               34399                   0                 UNI             109.500              18.625              49.625               0.000                   
             4310759               34399                   0                 UNI             109.750              19.000              49.750               0.000                   
             4310859               34399                   0                 UNI             109.500              19.000              49.875               0.000                   
             4310959               34399                   0                 UNI             109.000              19.750              50.000               0.000                   
             4311059               34399                   0                 UNI             109.500              19.625              50.000               0.000                   
             4311159               34399                   0                 UNI             109.500              19.500              50.125               0.000                   
             4311259               34399                   0                 UNI             109.250              19.375              50.250               0.000                   
             4311359               34399                   0                 UNI             109.500              20.000              50.250               0.000                   
             4311459               34399                   0                 UNI             109.250              19.625              50.500               0.000                   
             4311559               34399                   0                 UNI             109.000              20.000              50.625               0.000                   
             4311659               34399                   0                 UNI             109.500              19.625              50.500               0.000                   
             4311759               34399                   0                 UNI             109.250              20.500              50.750               0.000                   
             4311859               34399                   0                 UNI             109.500              20.000              50.750               0.000                   
             4311959               34399                   0                 UNI             109.250              20.125              50.875               0.000                   
             4312059               34399                   0                 UNI             109.500              20.250              50.875               0.000                   
             4312159               34399                   0                 UNI             108.500              20.375              51.125               0.000                   
             4312259               34399                   0                 UNI             108.500              20.625              51.125               0.000                   
             4312359               34399                   0                 UNI             109.000              20.500              51.250               0.000                   
             4312459               34399                   0                 UNI             109.000              21.000              51.250               0.000                   
             4312559               34399                   0                 UNI             108.500              20.750              51.375               0.000                   
             4312659               34399                   0                 UNI             109.000              20.625              51.375               0.000                   
             4312759               34399                   0                 UNI             109.000              21.250              51.500               0.000                   
             4312859               34399                   0                 UNI             109.500              20.750              51.500               0.000                   
             4312959               34399                   0                 UNI             109.500              20.875              51.500               0.000                   
             4313059               34399                   0                 UNI             109.250              21.250              51.625               0.000                   
             4313159               34399                   0                 UNI             109.500              21.125              51.750               0.000                   
             4313259               34399                   0                 UNI             108.500              20.750              51.750               0.000                   
             4313359               34399                   0                 UNI             108.500              21.250              51.875               0.000                   
             4313459               34399                   0                 UNI             108.500              21.000              51.750               0.000                   
