              UniqID                   X                   Y                   Z             MaxTime           TotalTime        MaxImpedance      MaxTemperature            MaxPower     MaxAverageForce                   
           505561518              18.500              61.500               5.500               4.050               4.050             101.095              54.875              22.500               1.646                   
           503525510              10.500              25.500               3.500               7.917               7.917              98.769              55.500              14.625               7.311                   
           508567519              19.500              67.500               8.500               6.633               6.633              99.532              50.000              23.750               1.221                   
           503544530              30.500              44.500               3.500              46.150              46.149             105.464              55.250              30.625              11.833                   
           504536509               9.500              36.500               4.500               0.117               0.117          -10000.000              48.375              11.375               7.341                   
           504528508               8.500              28.500               4.500               0.250               0.250              98.823              55.000              12.625               7.362                   
           507568519              19.500              68.500               7.500               6.633               6.633              99.532              50.000              23.750               1.221                   
           509575542              42.500              75.500               9.500              19.867              19.867             148.330              55.375              15.875              22.502                   
           501532526              26.500              32.500               1.500              42.550              42.550              99.621              55.125              20.000              18.922                   
           508568519              19.500              68.500               8.500               6.633               6.633              99.532              50.000              23.750               1.221                   
           509568519              19.500              68.500               9.500               6.633               6.633              99.532              50.000              23.750               1.221                   
           510578544              44.500              78.500              10.500              46.350              46.349             161.182              55.750              20.000              26.559                   
           506556538              38.500              56.500               6.500              45.250              45.249             121.565              55.250              23.000              12.936                   
           508569519              19.500              69.500               8.500               6.633               6.633              99.532              50.000              23.750               1.221                   
           506565519              19.500              65.500               6.500              28.300              28.300             104.250              54.875              21.125               1.449                   
           507567520              20.500              67.500               7.500               6.633               6.633              99.532              50.000              23.750               1.221                   
           504556516              16.500              56.500               4.500              27.950              27.950             102.286              55.125              17.750               1.914                   
           505561516              16.500              61.500               5.500               0.517               0.517             101.095              54.875              20.375               1.540                   
           508567520              20.500              67.500               8.500              14.500              14.500              99.532              52.625              30.500               1.323                   
           509572542              42.500              72.500               9.500              26.317              26.316             148.617              55.375              15.750              22.500                   
           501537528              28.500              37.500               1.500               6.133               6.133             100.117              55.250              22.500              14.722                   
           509567520              20.500              67.500               9.500               6.633               6.633              99.532              50.000              23.750               1.221                   
           502544512              12.500              44.500               2.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           507568520              20.500              68.500               7.500              14.500              14.500              99.532              52.625              30.500               1.323                   
           506556515              15.500              56.500               6.500              19.367              19.367             102.286              55.000              16.875               1.822                   
           508568520              20.500              68.500               8.500              14.500              14.500              99.532              52.625              30.500               1.323                   
           502544513              13.500              44.500               2.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           506523524              24.500              23.500               6.500              44.950              44.949              99.777              55.000              20.500              22.656                   
           509568520              20.500              68.500               9.500              14.500              14.500              99.532              52.625              30.500               1.323                   
           507569520              20.500              69.500               7.500               6.633               6.633              99.532              50.000              23.750               1.221                   
           508569520              20.500              69.500               8.500              14.500              14.500              99.532              52.625              30.500               1.323                   
           509569520              20.500              69.500               9.500               6.633               6.633              99.532              50.000              23.750               1.221                   
           508567521              21.500              67.500               8.500              14.500              14.500              99.532              52.625              30.500               1.323                   
           505560518              18.500              60.500               5.500              28.750              28.750             102.633              54.875              22.750               1.649                   
           507568521              21.500              68.500               7.500              14.500              14.500              99.532              52.625              30.500               1.323                   
           503526525              25.500              26.500               3.500              43.300              43.300              99.552              55.125              20.750              21.284                   
           504526509               9.500              26.500               4.500               8.050               8.050              98.784              55.500              14.625               7.330                   
           508568521              21.500              68.500               8.500              14.500              14.500              99.532              52.625              30.500               1.323                   
           509568521              21.500              68.500               9.500              14.500              14.500              99.532              52.625              30.500               1.323                   
           504541510              10.500              41.500               4.500              27.150              27.150              99.749              55.125              16.125               7.596                   
           507557537              37.500              57.500               7.500              45.250              45.249             121.565              55.250              23.000              12.936                   
