ECG_Export_4.0
Raw ECG to MV (gain) = 0.003000
Unipolar Mapping Channel=M1 Bipolar Mapping Channel=M1-M2 Reference Channel=I
M1(1)                         M2(2)                         M3(3)                         M4(4)                         M7(7)                         M8(8)                         M9(9)                         M10(10)                       WCT_GND(21)                   V1(22)                        V2(23)                        V3(24)                        V4(25)                        V5(26)                        V6(27)                        LA(28)                        RA(29)                        LL(30)                        M1-M2(92)                     M3-M4(94)                     I(110)                        II(111)                       III(112)                      aVL(171)                      aVR(172)                      aVF(173)                      
-182                          -182                          -15                           -14                           21                            -20                           -26                           25                            -138                          158                           25                            69                            35                            38                            49                            70                            13                            -4                            -1                            0                             57                            -19                           -76                           66                            -19                           -47                           
-119                          -117                          288                           289                           -21                           22                            1                             -7                            -138                          160                           21                            61                            32                            34                            45                            33                            3                             -11                           -2                            0                             29                            -16                           -45                           38                            -6                            -31                           
141                           144                           296                           297                           -13                           10                            51                            -56                           -137                          125                           9                             36                            19                            18                            28                            -9                            -5                            -17                           -1                            0                             -3                            -12                           -8                            2                             7                             -10                           
333                           335                           20                            20                            0                             -6                            38                            -41                           -139                          99                            4                             25                            12                            10                            18                            -28                           -5                            -6                            3                             0                             -23                           -1                            21                            -21                           12                            9                             
173                           172                           -173                          -174                          -5                            0                             27                            -36                           -138                          96                            10                            33                            18                            14                            20                            -24                           1                             14                            1                             1                             -26                           12                            38                            -32                           6                             25                            
-93                           -94                           -229                          -229                          -5                            0                             67                            -76                           -138                          103                           21                            52                            28                            25                            29                            -14                           9                             38                            1                             0                             -24                           28                            52                            -38                           -2                            40                            
-215                          -216                          -175                          -174                          -2                            -4                            31                            -34                           -138                          96                            29                            66                            35                            32                            35                            -16                           11                            52                            0                             0                             -27                           41                            69                            -48                           -6                            55                            
-214                          -214                          -8                            -8                            19                            -24                           -30                           24                            -138                          56                            26                            60                            29                            28                            28                            -34                           6                             53                            -1                            0                             -41                           46                            88                            -64                           -2                            67                            
-95                           -93                           130                           130                           39                            -44                           -2                            -7                            -138                          -12                           12                            34                            11                            12                            9                             -60                           -1                            42                            -1                            1                             -58                           44                            103                           -80                           6                             74                            
72                            75                            156                           156                           10                            -20                           12                            -19                           -138                          -91                           -6                            1                             -11                           -7                            -14                           -77                           -8                            29                            -1                            0                             -67                           38                            106                           -87                           14                            72                            
155                           157                           -17                           -18                           -31                           21                            5                             -12                           -138                          -143                          -17                           -18                           -26                           -18                           -28                           -67                           -8                            20                            2                             1                             -58                           29                            88                            -73                           14                            59                            
80                            79                            -309                          -309                          -50                           39                            48                            -63                           -138                          -138                          -13                           -7                            -22                           -12                           -21                           -27                           0                             19                            2                             0                             -27                           19                            46                            -37                           3                             33                            
-172                          -175                          -294                          -294                          -46                           32                            64                            -78                           -138                          -96                           0                             19                            -9                            3                             -3                            15                            7                             14                            1                             0                             8                             6                             -1                            5                             -7                            2                             
-345                          -345                          17                            17                            -33                           20                            3                             -21                           -138                          -65                           5                             32                            -2                            10                            5                             32                            4                             -4                            -4                            0                             27                            -9                            -36                           31                            -9                            -23                           
-154                          -152                          239                           240                           -24                           14                            -47                           18                            -137                          -63                           -1                            21                            -8                            2                             0                             23                            -4                            -30                           -1                            -1                            27                            -26                           -54                           40                            0                             -39                           
147                           150                           280                           281                           -19                           6                             -15                           -8                            -138                          -74                           -13                           -1                            -20                           -11                           -14                           10                            -13                           -52                           -2                            0                             23                            -39                           -62                           42                            8                             -50                           
275                           277                           188                           188                           -27                           10                            17                            -29                           -138                          -71                           -21                           -17                           -26                           -20                           -22                           11                            -14                           -60                           0                             0                             25                            -46                           -72                           48                            10                            -58                           
245                           244                           4                             4                             -31                           16                            0                             -15                           -137                          -36                           -18                           -12                           -20                           -16                           -15                           30                            -7                            -51                           1                             1                             38                            -44                           -82                           60                            3                             -63                           
97                            95                            -146                          -146                          0                             -15                           6                             -26                           -138                          28                            -4                            11                            -2                            0                             3                             56                            3                             -32                           1                             0                             53                            -35                           -89                           71                            -8                            -62                           
-82                           -84                           -186                          -187                          4                             -22                           11                            -27                           -138                          104                           13                            45                            20                            21                            29                            75                            12                            -13                           1                             0                             62                            -25                           -88                           76                            -18                           -57                           
-180                          -181                          -9                            -10                           -40                           24                            -12                           -1                            -138                          159                           25                            67                            35                            36                            46                            69                            12                            -5                            0                             0                             56                            -18                           -74                           65                            -19                           -46                           
-115                          -113                          294                           293                           -45                           31                            9                             -28                           -137                          160                           22                            59                            32                            33                            43                            32                            3                             -12                           -3                            0                             28                            -15                           -44                           36                            -6                            -30                           
147                           150                           294                           293                           -29                           11                            42                            -59                           -138                          127                           10                            36                            19                            20                            27                            -9                            -5                            -16                           0                             0                             -4                            -11                           -7                            1                             7                             -9                            
335                           336                           13                            13                            -50                           31                            7                             -22                           -138                          101                           6                             24                            13                            13                            18                            -27                           -4                            -5                            2                             0                             -22                           -1                            21                            -22                           11                            10                            
168                           166                           -179                          -179                          -48                           31                            -26                           8                             -138                          98                            12                            33                            19                            17                            21                            -22                           2                             16                            1                             0                             -25                           13                            39                            -32                           5                             26                            
-98                           -100                          -235                          -235                          -12                           -5                            -15                           -5                            -138                          105                           23                            51                            29                            26                            29                            -14                           9                             38                            3                             0                             -23                           29                            52                            -37                           -3                            41                            
-218                          -220                          -176                          -176                          -11                           -6                            3                             -19                           -138                          97                            30                            64                            36                            32                            34                            -16                           10                            52                            0                             0                             -26                           42                            68                            -48                           -7                            55                            
-217                          -217                          -7                            -7                            -31                           16                            18                            -35                           -139                          57                            26                            57                            30                            27                            27                            -35                           5                             52                            -1                            0                             -40                           47                            87                            -64                           -3                            67                            
-96                           -94                           128                           128                           -33                           15                            37                            -58                           -137                          -12                           12                            32                            11                            11                            8                             -60                           -3                            41                            0                             -1                            -57                           45                            102                           -80                           6                             73                            
71                            73                            151                           151                           -30                           5                             -1                            -18                           -138                          -90                           -5                            -1                            -11                           -8                            -15                           -77                           -10                           28                            0                             0                             -66                           38                            105                           -86                           14                            71                            
151                           152                           -21                           -21                           -35                           10                            -50                           31                            -138                          -141                          -17                           -20                           -25                           -21                           -29                           -67                           -9                            19                            0                             1                             -57                           29                            86                            -72                           14                            58                            
73                            72                            -302                          -303                          -34                           11                            -2                            -22                           -138                          -135                          -12                           -8                            -22                           -15                           -22                           -26                           0                             18                            2                             0                             -26                           19                            45                            -36                           3                             32                            
-174                          -177                          -282                          -282                          -32                           7                             38                            -63                           -138                          -93                           0                             18                            -8                            0                             -4                            15                            7                             13                            0                             -1                            8                             6                             -1                            5                             -7                            2                             
-334                          -335                          23                            23                            -54                           30                            7                             -28                           -138                          -63                           5                             29                            -1                            8                             4                             32                            5                             -4                            -3                            0                             26                            -9                            -36                           31                            -8                            -22                           
-141                          -139                          237                           237                           -54                           35                            -21                           -1                            -138                          -62                           -1                            18                            -7                            2                             -1                            23                            -3                            -29                           -1                            0                             27                            -25                           -53                           40                            0                             -39                           
149                           152                           275                           275                           -19                           -1                            -3                            -21                           -139                          -74                           -13                           -4                            -18                           -11                           -14                           10                            -12                           -51                           -2                            0                             22                            -39                           -61                           42                            8                             -50                           
271                           272                           184                           184                           -24                           -1                            24                            -46                           -138                          -71                           -22                           -20                           -25                           -20                           -22                           11                            -13                           -59                           1                             0                             25                            -46                           -71                           48                            10                            -58                           
240                           240                           2                             2                             -68                           43                            28                            -53                           -137                          -34                           -19                           -15                           -20                           -16                           -15                           30                            -6                            -51                           1                             0                             37                            -44                           -82                           59                            3                             -63                           
94                            92                            -149                          -150                          -77                           52                            33                            -61                           -138                          30                            -5                            10                            -1                            1                             5                             57                            4                             -31                           1                             0                             53                            -35                           -89                           71                            -8                            -62                           
-84                           -86                           -188                          -189                          -74                           46                            20                            -45                           -138                          107                           13                            44                            21                            24                            32                            75                            12                            -12                           1                             0                             63                            -25                           -88                           75                            -18                           -56                           
-182                          -182                          -7                            -7                            -104                          78                            17                            -40                           -138                          161                           26                            66                            35                            40                            50                            68                            12                            -6                            -1                            0                             56                            -17                           -74                           65                            -19                           -46                           
-115                          -113                          296                           296                           -85                           62                            55                            -81                           -138                          162                           22                            59                            32                            36                            47                            31                            2                             -13                           -3                            0                             29                            -15                           -44                           36                            -6                            -29                           
152                           154                           293                           293                           -32                           6                             41                            -64                           -138                          129                           11                            35                            19                            23                            31                            -9                            -5                            -16                           0                             0                             -3                            -10                           -7                            1                             7                             -8                            
338                           339                           12                            12                            -38                           9                             -8                            -11                           -139                          103                           6                             24                            14                            15                            22                            -27                           -5                            -5                            2                             0                             -21                           0                             21                            -21                           11                            10                            
165                           163                           -182                          -183                          -68                           41                            -17                           -7                            -139                          101                           12                            32                            20                            19                            24                            -22                           1                             16                            0                             0                             -24                           14                            39                            -31                           4                             26                            
-102                          -104                          -238                          -238                          -73                           44                            -23                           -3                            -138                          107                           23                            50                            31                            28                            32                            -13                           8                             38                            3                             0                             -22                           30                            52                            -37                           -4                            41                            
-222                          -223                          -174                          -174                          -62                           33                            -46                           22                            -138                          99                            30                            63                            37                            34                            36                            -16                           10                            52                            -1                            0                             -26                           42                            69                            -47                           -7                            55                            
-218                          -218                          -5                            -5                            -68                           43                            -41                           16                            -139                          58                            27                            56                            30                            27                            28                            -35                           5                             52                            0                             0                             -40                           46                            87                            -64                           -3                            67                            
-92                           -91                           127                           127                           -71                           45                            3                             -33                           -138                          -12                           12                            30                            12                            9                             7                             -61                           -3                            41                            0                             0                             -57                           44                            102                           -80                           6                             73                            
75                            77                            150                           150                           -59                           30                            37                            -65                           -139                          -92                           -6                            -4                            -11                           -12                           -16                           -77                           -10                           27                            -1                            0                             -67                           37                            105                           -86                           14                            71                            
152                           152                           -21                           -21                           -58                           31                            40                            -67                           -138                          -143                          -18                           -23                           -26                           -24                           -31                           -67                           -9                            19                            1                             0                             -57                           29                            86                            -72                           14                            57                            
72                            71                            -304                          -304                          -49                           23                            29                            -61                           -138                          -137                          -13                           -11                           -22                           -17                           -24                           -26                           0                             18                            2                             0                             -26                           18                            45                            -35                           3                             31                            
-175                          -177                          -283                          -283                          -47                           19                            25                            -53                           -138                          -95                           0                             15                            -9                            0                             -6                            15                            7                             13                            1                             0                             8                             5                             -2                            5                             -7                            1                             
-335                          -335                          22                            22                            -86                           57                            8                             -31                           -138                          -65                           5                             28                            -3                            7                             2                             31                            5                             -4                            -3                            0                             26                            -9                            -36                           31                            -8                            -23                           
-143                          -140                          239                           239                           -92                           67                            -22                           -3                            -139                          -64                           -1                            16                            -9                            1                             -2                            22                            -3                            -29                           -1                            0                             26                            -25                           -52                           39                            0                             -39                           
150                           153                           281                           281                           -57                           28                            8                             -38                           -139                          -76                           -14                           -6                            -20                           -11                           -15                           10                            -12                           -51                           -2                            0                             22                            -38                           -61                           42                            7                             -50                           
275                           277                           187                           187                           -50                           17                            41                            -70                           -139                          -72                           -22                           -23                           -26                           -20                           -22                           12                            -13                           -59                           0                             0                             25                            -45                           -71                           48                            9                             -58                           
245                           245                           -2                            -2                            -54                           23                            13                            -44                           -138                          -35                           -19                           -18                           -20                           -16                           -16                           31                            -7                            -51                           1                             -1                            38                            -43                           -82                           60                            2                             -63                           
