ECG_Export_4.0
Raw ECG to MV (gain) = 0.003000
Unipolar Mapping Channel=M1 Bipolar Mapping Channel=M1-M2 Reference Channel=I
M1(1)                         M2(2)                         M3(3)                         M4(4)                         M7(7)                         M8(8)                         M9(9)                         M10(10)                       WCT_GND(21)                   V1(22)                        V2(23)                        V3(24)                        V4(25)                        V5(26)                        V6(27)                        LA(28)                        RA(29)                        LL(30)                        M1-M2(92)                     M3-M4(94)                     I(110)                        II(111)                       III(112)                      aVL(171)                      aVR(172)                      aVF(173)                      
-194                          -195                          -32                           -33                           -13                           18                            -34                           33                            -139                          128                           17                            21                            28                            19                            30                            70                            14                            -5                            -1                            0                             56                            -20                           -76                           66                            -18                           -48                           
-134                          -133                          279                           278                           42                            -37                           35                            -32                           -141                          129                           13                            12                            25                            14                            25                            32                            3                             -12                           -4                            0                             29                            -16                           -45                           37                            -6                            -30                           
128                           131                           295                           294                           26                            -23                           29                            -24                           -139                          95                            0                             -13                           11                            0                             8                             -10                           -6                            -17                           -1                            0                             -3                            -10                           -7                            2                             6                             -8                            
327                           329                           17                            16                            -39                           42                            8                             -11                           -140                          67                            -4                            -26                           6                             -8                            -1                            -28                           -6                            -6                            3                             0                             -21                           0                             22                            -22                           10                            11                            
171                           169                           -184                          -184                          -42                           41                            43                            -49                           -140                          65                            1                             -16                           12                            -3                            1                             -24                           1                             16                            1                             0                             -25                           14                            40                            -32                           5                             27                            
-98                           -100                          -236                          -236                          -20                           15                            17                            -18                           -140                          72                            14                            4                             25                            9                             13                            -14                           10                            39                            0                             0                             -23                           29                            53                            -38                           -2                            41                            
-222                          -223                          -174                          -174                          -14                           10                            -78                           75                            -141                          66                            22                            19                            32                            18                            21                            -15                           13                            54                            0                             0                             -28                           41                            69                            -49                           -6                            55                            
-219                          -219                          -12                           -12                           8                             -11                           -60                           53                            -140                          27                            20                            14                            26                            15                            15                            -34                           7                             54                            -1                            0                             -41                           46                            88                            -64                           -2                            67                            
-97                           -95                           121                           121                           2                             -7                            19                            -22                           -140                          -43                           5                             -11                           7                             -1                            -4                            -61                           -3                            42                            -1                            -1                            -57                           45                            103                           -80                           6                             74                            
69                            70                            148                           148                           -28                           24                            17                            -18                           -141                          -124                          -15                           -46                           -18                           -24                           -31                           -78                           -12                           27                            0                             0                             -66                           39                            105                           -85                           13                            72                            
148                           148                           -21                           -21                           -2                            -2                            1                             -12                           -140                          -178                          -29                           -68                           -35                           -40                           -48                           -70                           -13                           17                            2                             0                             -56                           30                            87                            -72                           13                            58                            
74                            72                            -307                          -308                          32                            -42                           -3                            -8                            -140                          -175                          -25                           -59                           -32                           -36                           -44                           -30                           -3                            15                            2                             0                             -26                           19                            46                            -36                           3                             32                            
-171                          -174                          -296                          -296                          16                            -26                           0                             -4                            -141                          -134                          -12                           -32                           -19                           -20                           -27                           14                            6                             11                            0                             -1                            8                             5                             -1                            5                             -7                            1                             
-341                          -342                          9                             9                             -5                            -3                            20                            -30                           -141                          -102                          -5                            -18                           -11                           -11                           -17                           32                            5                             -4                            -3                            0                             26                            -10                           -36                           31                            -8                            -23                           
-158                          -156                          229                           229                           -6                            -6                            26                            -41                           -140                          -98                           -10                           -27                           -16                           -16                           -21                           24                            -2                            -29                           -1                            0                             27                            -25                           -53                           40                            0                             -39                           
