Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
2	1693	13.3423	17.4917	12.8987	
2	1710	13.3445	17.5	12.8997	
2	1726	13.3469	17.5053	12.8965	
2	1743	13.3441	17.5004	12.8905	
2	1760	13.3393	17.4989	12.8828	
2	1776	13.3389	17.5019	12.8755	
2	1793	13.3408	17.5058	12.8849	
2	1810	13.3413	17.5072	12.8872	
2	1826	13.3366	17.5059	12.8778	
2	1843	13.3349	17.5051	12.8715	
2	1860	13.3354	17.4997	12.8743	
2	1876	13.3351	17.509	12.8715	
2	1893	13.3317	17.5081	12.8661	
2	1910	13.3311	17.506	12.8737	
2	1926	13.334	17.5052	12.8759	
2	1943	13.3301	17.5058	12.8719	
2	1960	13.3334	17.5109	12.8702	
2	1976	13.3316	17.5114	12.8721	
2	1993	13.3312	17.5035	12.8786	
2	2010	13.3297	17.5117	12.8749	
2	2026	13.3332	17.5077	12.8784	
2	2043	13.3284	17.5068	12.8765	
2	2060	13.3309	17.5059	12.871	
2	2076	13.3295	17.5034	12.877	
2	2093	13.329	17.5052	12.8744	
2	2110	13.3291	17.507	12.8868	
2	2126	13.3347	17.5063	12.8898	
2	2143	13.3293	17.5014	12.879	
2	2160	13.3276	17.5055	12.8786	
2	2176	13.33	17.5068	12.8778	
2	2193	13.33	17.5002	12.8815	
2	2210	13.3331	17.4996	12.8875	
2	2226	13.3345	17.4975	12.8879	
2	2243	13.3335	17.5048	12.8865	
2	2260	13.3302	17.4942	12.8948	
2	2276	13.3326	17.497	12.885	
2	2293	13.3322	17.4982	12.89	
2	2310	13.3358	17.4942	12.8903	
2	2326	13.3369	17.4957	12.8934	
2	2343	13.3354	17.4963	12.8961	
2	2360	13.334	17.4922	12.8947	
2	2376	13.3343	17.4816	12.8899	
2	2393	13.3359	17.488	12.8939	
2	2410	13.3367	17.4851	12.8931	
2	2426	13.3382	17.479	12.8957	
2	2443	13.3372	17.4792	12.894	
2	2460	13.3409	17.4707	12.8974	
2	2476	13.3401	17.4741	12.8954	
2	2493	13.3386	17.474	12.8947	
3	-7	13.0078	11.7459	13.6287	
3	10	13.0117	11.7344	13.6297	
3	26	13.009	11.7362	13.633	
3	43	13.0109	11.7407	13.6259	
3	60	13.0109	11.7353	13.6325	
3	76	13.0138	11.7415	13.6376	
3	93	13.0136	11.7415	13.6353	
3	110	13.0161	11.738	13.6353	
3	126	13.0139	11.7428	13.6422	
3	143	13.016	11.7465	13.6389	
3	160	13.0133	11.7439	13.6383	
3	176	13.0153	11.7513	13.6403	
3	193	13.0133	11.7436	13.6478	
3	210	13.0147	11.7418	13.6432	
3	226	13.0127	11.7477	13.6535	
3	243	13.0123	11.7472	13.6478	
3	260	13.0116	11.7478	13.6523	
3	276	13.0085	11.7503	13.649	
3	293	13.0068	11.7546	13.6542	
3	310	13.0046	11.7498	13.6549	
3	326	13.0024	11.7545	13.6572	
3	343	13.0023	11.7536	13.6591	
3	360	12.9961	11.7554	13.6611	
3	376	12.9971	11.7542	13.6621	
3	393	12.9952	11.7548	13.6718	
3	410	12.9902	11.7567	13.6716	
3	426	12.9886	11.76	13.668	
3	443	12.9838	11.7638	13.6694	
3	460	12.9799	11.7605	13.6736	
3	476	12.98	11.7661	13.6761	
3	493	12.9774	11.7603	13.6779	
3	510	12.9749	11.761	13.6777	
3	526	12.9709	11.7651	13.6762	
3	543	12.9687	11.7594	13.6792	
3	560	12.9665	11.7599	13.6816	
3	576	12.9611	11.7636	13.6775	
3	593	12.9598	11.7571	13.6851	
3	610	12.9596	11.7681	13.6841	
3	626	12.9539	11.7604	13.689	
3	643	12.9531	11.7617	13.6828	
3	660	12.9513	11.7554	13.6873	
3	676	12.9467	11.7577	13.6795	
3	693	12.9496	11.7596	13.6914	
3	710	12.9446	11.7565	13.6841	
3	726	12.9442	11.7525	13.6815	
3	743	12.9442	11.7604	13.6918	
3	760	12.9408	11.7594	13.6879	
3	776	12.9393	11.7493	13.6934	
3	793	12.937	11.7532	13.6871	
3	810	12.9395	11.7504	13.6873	
3	826	12.941	11.7551	13.6938	
3	843	12.9388	11.7478	13.6939	
3	860	12.9393	11.7491	13.6924	
3	876	12.9384	11.7446	13.6928	
3	893	12.9407	11.7446	13.6948	
3	910	12.9421	11.7451	13.6973	
3	926	12.9405	11.7472	13.6942	
3	943	12.9437	11.7418	13.6958	
3	960	12.945	11.7484	13.6884	
3	976	12.9464	11.7418	13.6932	
3	993	12.947	11.7459	13.6971	
3	1010	12.9476	11.7465	13.6914	
3	1026	12.9476	11.7481	13.7001	
3	1043	12.9483	11.7497	13.6944	
3	1060	12.9531	11.7514	13.6983	
3	1076	12.9527	11.7417	13.6964	
3	1093	12.9557	11.748	13.6946	
3	1110	12.9584	11.7486	13.6969	
3	1126	12.9579	11.7458	13.6952	
3	1143	12.9586	11.7501	13.6989	
3	1160	12.9638	11.7506	13.6997	
3	1176	12.9638	11.7468	13.6994	
3	1193	12.9634	11.7526	13.6986	
3	1210	12.9639	11.7565	13.6902	
3	1226	12.9657	11.7523	13.6954	
3	1243	12.966	11.754	13.6888	
3	1260	12.9698	11.7578	13.6873	
3	1276	12.9707	11.7607	13.6897	
3	1293	12.9655	11.7603	13.6887	
3	1310	12.975	11.7665	13.6854	
3	1326	12.9702	11.7655	13.6825	
3	1343	12.9732	11.764	13.6758	
3	1360	12.9772	11.7705	13.6841	
3	1376	12.9718	11.7719	13.6774	
3	1393	12.97	11.7728	13.6674	
3	1410	12.9701	11.7748	13.6614	
3	1426	12.9696	11.7795	13.6622	
3	1443	12.9724	11.7869	13.6575	
3	1460	12.9711	11.777	13.6577	
3	1476	12.9723	11.7837	13.6477	
3	1493	12.9689	11.7848	13.6436	
3	1510	12.9677	11.7882	13.6428	
3	1526	12.9689	11.7903	13.6384	
3	1543	12.9622	11.7887	13.6291	
3	1560	12.9646	11.7919	13.6295	
3	1576	12.9682	11.8028	13.623	
3	1593	12.962	11.7976	13.6253	
3	1610	12.963	11.8007	13.612	
