2-Map_P1_ContactForce.txt_2.0
Rate=50	Number =200	Date:11/25/21	Point Time:15:01:33	System Time:15:01:33	
Mode=0
IntervalGraph=100
7439542	5.83606	135	26	0	0	0	
IntervalNonGraph=1000
7439992	6.03406	132	26	0	0	0	
Index	Time	Timestamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
79	-3565	7433942	5.30705	-235	27	0	0	0	
80	-3515	7433992	6.34906	-228	21	0	0	0	
81	-3465	7434042	5.92097	-223	25	0	0	0	
82	-3415	7434092	5.08883	-233	29	0	0	0	
83	-3365	7434142	5.78841	-228	30	0	0	0	
84	-3315	7434192	6.32417	-227	29	0	0	0	
85	-3265	7434242	5.72447	-230	23	0	0	0	
86	-3215	7434292	5.90762	-235	18	0	0	0	
87	-3165	7434342	5.89731	-227	31	0	0	0	
88	-3115	7434392	6.58322	-222	24	0	0	0	
89	-3065	7434442	6.05068	-233	23	0	0	0	
90	-3015	7434492	7.10166	-230	23	0	0	0	
91	-2965	7434542	6.32109	-228	25	0	0	0	
92	-2915	7434592	6.45576	-232	23	0	0	0	
93	-2865	7434642	5.2488	-234	25	0	0	0	
94	-2815	7434692	6.19124	-232	23	0	0	0	
95	-2765	7434742	5.23943	-230	33	0	0	0	
96	-2715	7434792	5.58209	-226	29	0	0	0	
97	-2665	7434842	4.48393	0	0	0	0	0	
98	-2615	7434892	5.77542	-225	27	0	0	0	
99	-2565	7434942	5.96529	-234	25	0	0	0	
100	-2515	7434992	5.78424	-233	24	0	0	0	
101	-2465	7435042	6.1446	-229	21	0	0	0	
102	-2415	7435092	6.78705	-234	21	0	0	0	
103	-2365	7435142	5.91928	-231	23	0	0	0	
104	-2315	7435192	4.85213	0	0	0	0	0	
105	-2265	7435242	4.75853	0	0	0	0	0	
106	-2215	7435292	6.21281	-226	22	0	0	0	
107	-2165	7435342	5.86184	-229	23	0	0	0	
108	-2115	7435392	4.34083	0	0	0	0	0	
109	-2065	7435442	5.11512	-225	27	0	0	0	
110	-2015	7435492	4.69669	0	0	0	0	0	
111	-1965	7435542	5.00808	-234	32	0	0	0	
112	-1915	7435592	5.47228	-232	33	0	0	0	
113	-1865	7435642	5.0767	-234	26	0	0	0	
114	-1815	7435692	4.78425	0	0	0	0	0	
115	-1765	7435742	5.27664	-220	24	0	0	0	
116	-1715	7435792	5.86328	-232	25	0	0	0	
117	-1665	7435842	4.58682	0	0	0	0	0	
118	-1615	7435892	6.30694	-231	24	0	0	0	
119	-1565	7435942	5.34798	-217	30	0	0	0	
120	-1515	7435992	5.27064	-220	27	0	0	0	
121	-1465	7436042	6.4845	-238	20	0	0	0	
122	-1415	7436092	6.22909	-230	25	0	0	0	
123	-1365	7436142	5.96502	-236	26	0	0	0	
124	-1315	7436192	4.92817	0	0	0	0	0	
125	-1265	7436242	6.4414	-230	20	0	0	0	
126	-1215	7436292	6.83518	-230	20	0	0	0	
127	-1165	7436342	3.71793	0	0	0	0	0	
128	-1115	7436392	5.233	-234	25	0	0	0	
129	-1065	7436442	5.64431	-227	24	0	0	0	
130	-1015	7436492	6.02731	-229	27	0	0	0	
131	-965	7436542	6.22161	-236	17	0	0	0	
132	-915	7436592	5.6502	-227	29	0	0	0	
133	-865	7436642	6.06491	-229	21	0	0	0	
134	-815	7436692	6.12025	-231	24	0	0	0	
135	-765	7436742	4.62756	0	0	0	0	0	
136	-715	7436792	5.90963	-233	22	0	0	0	
137	-665	7436842	6.14126	-234	23	0	0	0	
138	-615	7436892	5.45806	-223	27	0	0	0	
139	-565	7436942	5.93309	-232	27	0	0	0	
140	-515	7436992	5.31022	-220	30	0	0	0	
141	-465	7437042	6.21355	-236	21	0	0	0	
142	-415	7437092	5.65675	-226	31	0	0	0	
143	-365	7437142	4.26785	0	0	0	0	0	
144	-315	7437192	5.11738	-216	22	0	0	0	
145	-265	7437242	6.03025	-221	26	0	0	0	
146	-215	7437292	6.67796	-227	23	0	0	0	
147	-165	7437342	5.92212	-229	28	0	0	0	
148	-115	7437392	5.42367	-226	25	0	0	0	
149	-65	7437442	6.10989	-230	23	0	0	0	
